"filename", "language", "TypeScript JSX", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "JSON", "PostCSS", "Python", "HTML", "XML", "comment", "blank", "total"
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\types.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\utils\dataSeeding.ts", "TypeScript", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 51, 27, 241
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\utils\imageUpload.ts", "TypeScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 37, 15, 169
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\utils\linkValidation.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 60, 23, 169
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\utils\performance.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 107
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\utils\scrollUtils.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 90
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\utils\seed.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 58
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\utils\seedData.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\vite.config.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"Total", "-", 6467, 1293, 29, 88, 0, 3478, 300, 13, 218, 45, 401, 895, 13227
